ASSERTION	AAMDAAMFAAAAAAAAAFlA
RUN	perfectmatch.LoadTest	loadtest	1556913846787	 	3.0.2
USER	RampUpUsers	1	START	1556913848570	1556913848570
USER	RampUpUsers	2	START	1556913848639	1556913848639
USER	RampUpUsers	3	START	1556913848692	1556913848692
USER	RampUpUsers	4	START	1556913848740	1556913848740
USER	RampUpUsers	5	START	1556913848788	1556913848788
USER	RampUpUsers	6	START	1556913848843	1556913848843
USER	RampUpUsers	7	START	1556913848891	1556913848891
USER	RampUpUsers	8	START	1556913848939	1556913848939
USER	RampUpUsers	9	START	1556913848988	1556913848988
USER	RampUpUsers	10	START	1556913849048	1556913849048
USER	RampUpUsers	11	START	1556913849099	1556913849099
REQUEST	3		perfectmatch	1556913848693	1556913849073	OK	 
REQUEST	7		perfectmatch	1556913848892	1556913849074	OK	 
REQUEST	4		perfectmatch	1556913848741	1556913849074	OK	 
USER	RampUpUsers	3	END	1556913848692	1556913849123
USER	RampUpUsers	7	END	1556913848891	1556913849123
USER	RampUpUsers	4	END	1556913848740	1556913849124
REQUEST	8		perfectmatch	1556913848940	1556913849075	OK	 
REQUEST	1		perfectmatch	1556913848601	1556913849075	OK	 
REQUEST	5		perfectmatch	1556913848789	1556913849082	OK	 
REQUEST	9		perfectmatch	1556913848988	1556913849073	OK	 
REQUEST	2		perfectmatch	1556913848640	1556913849085	OK	 
REQUEST	6		perfectmatch	1556913848845	1556913849083	OK	 
USER	RampUpUsers	1	END	1556913848570	1556913849127
USER	RampUpUsers	8	END	1556913848939	1556913849127
USER	RampUpUsers	5	END	1556913848788	1556913849128
USER	RampUpUsers	9	END	1556913848988	1556913849128
USER	RampUpUsers	2	END	1556913848639	1556913849128
USER	RampUpUsers	6	END	1556913848843	1556913849128
REQUEST	10		perfectmatch	1556913849049	1556913849135	OK	 
USER	RampUpUsers	10	END	1556913849048	1556913849142
REQUEST	11		perfectmatch	1556913849101	1556913849148	OK	 
USER	RampUpUsers	12	START	1556913849148	1556913849148
USER	RampUpUsers	11	END	1556913849099	1556913849149
REQUEST	12		perfectmatch	1556913849149	1556913849172	OK	 
USER	RampUpUsers	12	END	1556913849148	1556913849173
USER	RampUpUsers	13	START	1556913849202	1556913849202
REQUEST	13		perfectmatch	1556913849203	1556913849214	OK	 
USER	RampUpUsers	13	END	1556913849202	1556913849215
USER	RampUpUsers	14	START	1556913849249	1556913849249
REQUEST	14		perfectmatch	1556913849250	1556913849261	OK	 
USER	RampUpUsers	14	END	1556913849249	1556913849262
USER	RampUpUsers	15	START	1556913849298	1556913849298
REQUEST	15		perfectmatch	1556913849298	1556913849311	OK	 
USER	RampUpUsers	15	END	1556913849298	1556913849312
USER	RampUpUsers	16	START	1556913849352	1556913849352
REQUEST	16		perfectmatch	1556913849352	1556913849363	OK	 
USER	RampUpUsers	16	END	1556913849352	1556913849364
USER	RampUpUsers	17	START	1556913849400	1556913849400
REQUEST	17		perfectmatch	1556913849400	1556913849410	OK	 
USER	RampUpUsers	17	END	1556913849400	1556913849411
USER	RampUpUsers	18	START	1556913849453	1556913849453
REQUEST	18		perfectmatch	1556913849454	1556913849464	OK	 
USER	RampUpUsers	18	END	1556913849453	1556913849465
USER	RampUpUsers	19	START	1556913849499	1556913849499
REQUEST	19		perfectmatch	1556913849500	1556913849511	OK	 
USER	RampUpUsers	19	END	1556913849499	1556913849512
USER	RampUpUsers	20	START	1556913849551	1556913849551
REQUEST	20		perfectmatch	1556913849552	1556913849563	OK	 
USER	RampUpUsers	20	END	1556913849551	1556913849564
USER	RampUpUsers	21	START	1556913849603	1556913849603
REQUEST	21		perfectmatch	1556913849604	1556913849615	OK	 
USER	RampUpUsers	21	END	1556913849603	1556913849616
USER	RampUpUsers	22	START	1556913849649	1556913849649
REQUEST	22		perfectmatch	1556913849649	1556913849661	OK	 
USER	RampUpUsers	22	END	1556913849649	1556913849662
USER	RampUpUsers	23	START	1556913849700	1556913849700
REQUEST	23		perfectmatch	1556913849701	1556913849712	OK	 
USER	RampUpUsers	23	END	1556913849700	1556913849713
USER	RampUpUsers	24	START	1556913849752	1556913849752
REQUEST	24		perfectmatch	1556913849753	1556913849764	OK	 
USER	RampUpUsers	24	END	1556913849752	1556913849764
USER	RampUpUsers	25	START	1556913849798	1556913849798
REQUEST	25		perfectmatch	1556913849799	1556913849809	OK	 
USER	RampUpUsers	25	END	1556913849798	1556913849811
USER	RampUpUsers	26	START	1556913849851	1556913849851
REQUEST	26		perfectmatch	1556913849851	1556913849862	OK	 
USER	RampUpUsers	26	END	1556913849851	1556913849863
USER	RampUpUsers	27	START	1556913849903	1556913849903
REQUEST	27		perfectmatch	1556913849904	1556913849914	OK	 
USER	RampUpUsers	27	END	1556913849903	1556913849915
USER	RampUpUsers	28	START	1556913849950	1556913849950
REQUEST	28		perfectmatch	1556913849951	1556913849961	OK	 
USER	RampUpUsers	28	END	1556913849950	1556913849961
USER	RampUpUsers	29	START	1556913849998	1556913849998
REQUEST	29		perfectmatch	1556913849998	1556913850008	OK	 
USER	RampUpUsers	29	END	1556913849998	1556913850009
USER	RampUpUsers	30	START	1556913850053	1556913850053
REQUEST	30		perfectmatch	1556913850053	1556913850063	OK	 
USER	RampUpUsers	30	END	1556913850053	1556913850064
USER	RampUpUsers	31	START	1556913850101	1556913850101
REQUEST	31		perfectmatch	1556913850101	1556913850111	OK	 
USER	RampUpUsers	31	END	1556913850101	1556913850111
USER	RampUpUsers	32	START	1556913850149	1556913850149
REQUEST	32		perfectmatch	1556913850149	1556913850159	OK	 
USER	RampUpUsers	32	END	1556913850149	1556913850160
USER	RampUpUsers	33	START	1556913850198	1556913850198
REQUEST	33		perfectmatch	1556913850198	1556913850208	OK	 
USER	RampUpUsers	33	END	1556913850198	1556913850208
USER	RampUpUsers	34	START	1556913850252	1556913850252
REQUEST	34		perfectmatch	1556913850252	1556913850262	OK	 
USER	RampUpUsers	34	END	1556913850252	1556913850263
USER	RampUpUsers	35	START	1556913850300	1556913850300
REQUEST	35		perfectmatch	1556913850300	1556913850310	OK	 
USER	RampUpUsers	35	END	1556913850300	1556913850311
USER	RampUpUsers	36	START	1556913850348	1556913850348
REQUEST	36		perfectmatch	1556913850348	1556913850359	OK	 
USER	RampUpUsers	36	END	1556913850348	1556913850360
USER	RampUpUsers	37	START	1556913850403	1556913850403
REQUEST	37		perfectmatch	1556913850403	1556913850414	OK	 
USER	RampUpUsers	37	END	1556913850403	1556913850414
USER	RampUpUsers	38	START	1556913850451	1556913850451
REQUEST	38		perfectmatch	1556913850451	1556913850460	OK	 
USER	RampUpUsers	38	END	1556913850451	1556913850461
USER	RampUpUsers	39	START	1556913850499	1556913850499
REQUEST	39		perfectmatch	1556913850499	1556913850507	OK	 
USER	RampUpUsers	39	END	1556913850499	1556913850508
USER	RampUpUsers	40	START	1556913850554	1556913850554
REQUEST	40		perfectmatch	1556913850554	1556913850564	OK	 
USER	RampUpUsers	40	END	1556913850554	1556913850564
USER	RampUpUsers	41	START	1556913850602	1556913850602
REQUEST	41		perfectmatch	1556913850602	1556913850611	OK	 
USER	RampUpUsers	41	END	1556913850602	1556913850612
USER	RampUpUsers	42	START	1556913850624	1556913850624
REQUEST	42		perfectmatch	1556913850624	1556913850638	OK	 
USER	RampUpUsers	42	END	1556913850624	1556913850639
USER	RampUpUsers	43	START	1556913850672	1556913850672
REQUEST	43		perfectmatch	1556913850672	1556913850682	OK	 
USER	RampUpUsers	43	END	1556913850672	1556913850682
USER	RampUpUsers	44	START	1556913850720	1556913850720
REQUEST	44		perfectmatch	1556913850720	1556913850729	OK	 
USER	RampUpUsers	44	END	1556913850720	1556913850729
USER	RampUpUsers	45	START	1556913850768	1556913850768
REQUEST	45		perfectmatch	1556913850768	1556913850777	OK	 
USER	RampUpUsers	45	END	1556913850768	1556913850777
USER	RampUpUsers	46	START	1556913850822	1556913850822
REQUEST	46		perfectmatch	1556913850822	1556913850831	OK	 
USER	RampUpUsers	46	END	1556913850822	1556913850831
USER	RampUpUsers	47	START	1556913850868	1556913850868
REQUEST	47		perfectmatch	1556913850869	1556913850878	OK	 
USER	RampUpUsers	47	END	1556913850868	1556913850878
USER	RampUpUsers	48	START	1556913850923	1556913850923
REQUEST	48		perfectmatch	1556913850924	1556913850932	OK	 
USER	RampUpUsers	48	END	1556913850923	1556913850933
USER	RampUpUsers	49	START	1556913850970	1556913850970
REQUEST	49		perfectmatch	1556913850971	1556913850980	OK	 
USER	RampUpUsers	49	END	1556913850970	1556913850981
USER	RampUpUsers	50	START	1556913851018	1556913851018
REQUEST	50		perfectmatch	1556913851018	1556913851028	OK	 
USER	RampUpUsers	50	END	1556913851018	1556913851028
USER	RampUpUsers	51	START	1556913851071	1556913851071
REQUEST	51		perfectmatch	1556913851072	1556913851081	OK	 
USER	RampUpUsers	51	END	1556913851071	1556913851081
USER	RampUpUsers	52	START	1556913851118	1556913851118
REQUEST	52		perfectmatch	1556913851119	1556913851128	OK	 
USER	RampUpUsers	52	END	1556913851118	1556913851128
USER	RampUpUsers	53	START	1556913851173	1556913851173
REQUEST	53		perfectmatch	1556913851174	1556913851183	OK	 
USER	RampUpUsers	53	END	1556913851173	1556913851183
USER	RampUpUsers	54	START	1556913851221	1556913851221
REQUEST	54		perfectmatch	1556913851222	1556913851231	OK	 
USER	RampUpUsers	54	END	1556913851221	1556913851231
USER	RampUpUsers	55	START	1556913851269	1556913851269
REQUEST	55		perfectmatch	1556913851270	1556913851279	OK	 
USER	RampUpUsers	55	END	1556913851269	1556913851279
USER	RampUpUsers	56	START	1556913851318	1556913851318
REQUEST	56		perfectmatch	1556913851318	1556913851327	OK	 
USER	RampUpUsers	56	END	1556913851318	1556913851327
USER	RampUpUsers	57	START	1556913851372	1556913851372
REQUEST	57		perfectmatch	1556913851373	1556913851382	OK	 
USER	RampUpUsers	57	END	1556913851372	1556913851383
USER	RampUpUsers	58	START	1556913851420	1556913851420
REQUEST	58		perfectmatch	1556913851421	1556913851431	OK	 
USER	RampUpUsers	58	END	1556913851420	1556913851431
